name,roaster,roast,origin,rating,review
Finca El Jardin Guatemala,Tug Hill Artisan Roasters,Medium,Guatemala,91,"A solid Pacamara cup with savory undertones characteristic of this variety, nicely developed in the roast to encourage chocolate notes."
Coffea Diversa Rume Sudan Winey,Paradise Roasters,Light,Guatemala,95,"A fruit and floral bomb of a coffee from Ethiopia stock processed experimentally, encouraging an intricate array of tropical-leaning sensory notes. "
Hawai’i Puna Anaerobic Washed,Paradise Roasters,Medium-Light,Big Island Of Hawai’I,94,"An unusual, exciting anaerobic-processed coffee that is all fruit and honey, with especially high-toned acidity."
Colombia Hacienda Casablanca,Stereo Coffee Roasters,Medium-Light,Colombia,94,"An unusual blend of the workhorse Castillo and celebrated Geisha varieties of Arabica produced this bright and juicy, cocoa-rich Colombia cup."
La Union,JBC Coffee Roasters,Medium-Light,Southern Colombia,93,"A classic southern Colombia cup carried by delicate cocoa and citrus notes and an especially attractive, quite syrupy, mouthfeel."
Kaguyu,JBC Coffee Roasters,Medium-Light,Kenya,93,"A complex but balanced, easygoing Kenya with classic red currant notes throughout and a plushly smooth mouthfeel."
Halo Hartume,JBC Coffee Roasters,Medium-Light,Yirgacheffe Growing Region,93,"A nuanced, spice-toned cup centered around floral and citrus notes with undertones of sweet garden herbs."
Ethiopia Dur Feres Natural,Red Rooster Coffee Roaster,Medium-Light,South-Central Ethiopia,94,"A cleanly berry-forward natural Ethiopia cup with sweet floral and deep caramel undertones, enticingly vibrant and rich."
Ethiopia “Ear Candy” Uraga Guji,Three Keys Coffee,Medium-Light,Oromia Region,92,A gently fruit-centered natural-process Ethiopia with deep chocolate and aromatic wood notes throughout.
Kenya AA Ares Phoenix Special,Simon Hsieh’s Aroma Roast Coffees,Medium,South-Central Kenya,96,"All chocolate and flowers: A single-origin Kenya, roasted rather dark, carried by extraordinarily deep chocolate notes juxtaposed with seemingly infinite narcissus-like florals."
“Double A Train” Kenya Kabunyeria AA,Three Keys Coffee,Medium-Light,Rift Valley Region,92,"A friendly, balanced Kenya cup, caramelly and floral-toned."
Esmeralda Estate Panama Geisha,Difference Coffee,,Western Panama,94,"An elegant, multilayered washed Panama Geisha in Nespresso-compatible format: floral-driven, delicately chocolaty, deep-toned. "
GW01 Finca Sophia Olympus Geisha,GK Coffee,Medium-Light,Chiriquí,98,"This Best of Panama winner also won us over with its layers of floral tones (lavender, violet, jasmine, freesia) delicately ensconced in cocoa and tropical fruit notes, all complicated by a lightly bracing bittersweet citrus."
La Esperanza Colombian Natural X.O.,Durango Coffee Company,Medium-Light,Colombia,94,A berry-driven Colombia cup with background notes of sweet herbs and a dark chocolate throughline.
Taiwan Geisha Honey,Paradise Roasters,Light,Taiwan,94,"A delicately sweet, floral- and fruit-toned Taiwan Geisha, available for the first time in the U.S. market from Paradise Roasters."
Camilina Geisha,Bird Rock Coffee Roasters,Medium-Light,Chiriqui Province,95,"A delicately intense natural-processed Panama Geisha cup: exciting, unique, aromatically compelling."
Hacienda La Esmeralda Buenos Aires Geisha Natural,PT's Coffee Roasting Co.,Medium-Light,Panama,95,"Balanced, citrusy, deeply cocoa-toned, and engagingly tart leaning, with very juicy, bright acidity."
Kenya Kirinyaga Peaberry,Big Shoulders Coffee,Medium-Light,South-Central Kenya,93,"A juicy, rich-toned Kenya with bright citrus notes and dark chocolate throughout."
Ethiopia Sidama Bona Washed G1,Singsun Coffee,Medium-Light,South-Central Ethiopia,94," This classic washed Ethiopia cup offers vibrant acidity and lively aromatics across a range of floral, fruit and cocoa notes."
Ethiopia Sidama Bona Sweet Natural G1,Singsun Coffee,Medium-Light,South-Central Ethiopia,93,"A lush, deeply fruit-toned, sweetly fermenty natural Ethiopia cup."
Ethiopia Nectar Natural,MT49 Cafe,Medium,Ethiopia,91,"A pleasantly wood-framed, intentionally fermenty and fruit-toned Ethiopia cup."
Sidama Extreme Papilio Washed,Pro Aroma Enterprise Coffee,Medium-Light,South-Central Ethiopia,94,"A classic washed Sidama cup, both delicate and rich, with pretty stone fruit notes and zesty acidity."
Sidama Extreme Papilio Natural,Pro Aroma Enterprise Coffee,Medium-Light,South-Central Ethiopia,93,"A fusion of fruit (blueberry) and savory (fine musk) drive the cup, punctuated by citrusy brightness."
Finca Santa Isabel,El Gran Café ,Medium-Light,Alta Verapaz,94,"A resonant, flavor-saturated Guatemala cup with especially bright, engaging acidity; exquisitely balanced."
Panama Finca Minerva-Mirage Pacamara BOP PAC04,Kakalove Cafe,Medium-Light,Western Panama,95,"A splendid Panama Pacamara, its complexity and unique sweet-tart-savory structure accentuated and further complicated by a tangy lactic lift from the unusual carbonic maceration processing. "
Tanzania Shimiligwanda,Lexington Coffee Roasters,Light,Southwestern Tanzania,94,"A complex, deep-toned Tanzania cup evoking baking spice and the aroma of moist, freshly-turned earth, supported by a particularly attractive, syrupy mouthfeel."
Kona SL34,Kona Farm Direct,Medium,Big Island Of Hawai’I,93,"A floral-driven Kona SL34 cup, deftly roasted to medium-dark to bring out a sweet depth suggesting almond brittle."
Kona Pointu Laurina,Kona Farm Direct,Medium,Big Island Of Hawai’I,93,"An intricate, delicately perfumed cup from the rare Pointu Laurina variety of Arabica, compellingly complex and inviting."
Costa Rica Naranjo Cattleya,Lexington Coffee Roasters,Medium-Light,Central Valley,93,A cleanly sweet natural-processed Costa Rica that pleases with a mélange of berry notes with rich undertones of chocolate and florals.
K7 Sweet Spot,Kona Farm Direct,Medium-Light,Big Island Of Hawai’I,92,"A friendly, accessible, cocoa-driven cup with deep nut tones framed by rich aromatic wood."
Ethiopia Natural Guji Blue-Donkey 2020,Kakalove Cafe,Medium-Light,Oromia Region,95,Elegantly juxtaposes intriguing savory depth suggesting earthy sweet mushrooms with sweet dry persimmon and zesty citrus notes.
Colombia FUDAM Nariño,Lexington Coffee Roasters,Medium-Light,Southern Colombia,92,"A friendly, balanced Colombia cup with pleasing stone fruit and rich nut notes as throughlines."
Kenya Washed Peaberry Rnyeusi,Kakalove Cafe,Medium-Light,Kenya,94,"A deep-toned Kenya cup that prioritizes depth over fireworks — solid cocoa, nut and sweet fruit notes predominate in this engaging and accessible coffee."
Ethiopia COE 2nd place Washed Sidamo Rumudamo,Kakalove Cafe,Medium-Light,Sidama (Also Sidamo) Growing Region,94,"An elegant, light-footed, deeply floral washed Ethiopia cup."
Ethiopia Yirgacheffe Natural Haru Suke G1,Kakalove Cafe,Medium-Light,Yirgacheffe Growing Region,94,"A clean, juicy, bright natural Ethiopia cup with pretty tropical fruit notes balanced by deep nut and floral tones."
Finca Sophia Gesha Washed,Equator Coffees,Medium-Light,Chiriquí,98,"A lush, ethereal, complexly seductive experience of Panama Geisha, with intricate floral notes (plumeria, freesia, lilac, musk) interwoven with tropical fruit and cocoa."
Colombia Granja La Esperanza Java Anaerobic,Bird Rock Coffee Roasters,Medium-Light,Colombia,95,"A startlingly unusual yet inviting anaerobically processed Colombia Java, ideal for the coffee adventurer with its original aromatics conveyed in layers of sweetness, savory depth, and lactic tang."
Ethiopia Guji Super-Natural Decaf Water Process,Big Shoulders Coffee,Medium,Oromia Region,91,A sweet-toned decaf suggesting chocolate-covered raisins complicated by gently smoky aromatic wood notes.
Shantawene Ethiopia Daya Bensa Natural,Cafe Virtuoso,Light,South-Central Ethiopia,94,"A complex, multi-layered natural-processed Ethiopia cup, cleanly fruit-forward and crisply chocolaty."
Tigesit Waqa,Bird Rock Coffee Roasters,Medium-Light,South-Central Ethiopia,93,"Concentrated, berry-driven natural Ethiopia with deep, enveloping chocolate notes. "
Kenya AA FAQ,Small Eyes Cafe,Medium-Light,Yirgacheffe Growing Region,94,"A big, floral Kenya cup with deep chocolate notes throughout and a particularly engaging, lively acidity."
Ardent Ethiopia Natural,JBC Coffee Roasters,Medium-Light,South-Central Ethiopia,97,"A natural-processed Ethiopia cup unique and thrilling in its dried fruit and floral aromatics carried by a flawless structure: high-toned, elegant, complex, complete."
Kona Mocca®,Hula Daddy Kona Coffee,Medium-Light,North Kona Growing District,96,A celebratory coffee — invitingly chocolaty and rich with a whisper of Cognac underneath lush suggestions of tropical fruit.
Holiday Coffee,Hula Daddy Kona Coffee,Medium-Light,North Kona Growing District,94,"An enigmatic blend of coffees, one or more of which were clearly processed using experimental methods, netting an entertaining and unique cup with aromas redolent of holiday associations."
Bowstring Christmas Blend,Bridge Coffee Co.,Medium,Central America,92,"A friendly, accessible blend designed to evoke the warmth and spirit of the holidays with dried fruit, roasted nut, and chocolate tones throughout."
Peru Yanesha Geisha,94 Fresh Coffee,Medium-Light,Villa Rica,94,"A complex, multi-layered Geisha from Peru characterized by notes of stone fruit and rich florals, with support from nut and aromatic wood — bright, juicy, balanced."
Honduras El Retono,94 Fresh Coffee,Light,Honduras,93,"A delicate natural-processed cup that leads with tart fruit and vanilla-like floral notes, elegant and subtly inviting."
Flower Queens of Africa Blend,Green Stone Coffee,Medium-Light,Oromia Region,93,"An easygoing, cleanly fruit-forward natural-processed cup with big floral notes and delicate citrus and herb suggestions."
Umoja Organic Red Bourbon,Equiano Coffee,Light,Democratic Republic Of The Congo,93,"A solid DR Congo cup, balanced, engaging, pleasantly reminiscent of eating a candy apple."
Ethiopia Guji Chembi,Vennel Coffee,Medium-Light,Oromia Region,95,A beautifully composed natural-processed Ethiopia cup centered around clean tropical fruit tones supported by rich chocolate and deep vanilla-like florals.
Kenya Nyeri,Peacock Coffee Roaster,Medium-Light,South-Central Kenya,94,"A classic, deftly balanced Kenya coffee — vibrant, harmoniously sweet-tart, deep-toned."
Kona Red Bourbon Anaerobic Washed Uluwehi Farm,Paradise Roasters,Medium-Light,Kona,95,"A lyrically composed, intricately balanced, multi-layered Red Bourbon from Kona that rewards drinkers at every level of engagement."
Wush Wush,Red Rooster Coffee Roaster,Light,Southern Ethiopia,95,"An elegant, silky, deeply aromatic Ethiopia coffee of the rare Wush Wush variety — would make a great gift for any lover of coffee esoterica."
Kona Lactic Natural Black Rock Farm,Paradise Roasters,Medium-Light,Big Island Of Hawai’I,93,"A coffee fermented using a yeast strain aimed at developing lactic acid rather than fruit alcohol notes, producing a cup that is impressively complete yet unorthodox, ideal for the coffee adventurer or a palate looking for a recharge."
Ka’u Yellow Caturra Anaerobic Natural,Paradise Roasters,Medium-Light,Big Island Of Hawai’I,93,"A berry-centered cup, dessert-like in its sweetness, suggesting strawberry shortcake or raspberry trifle."
Organic Red Honey Ramirez Estate Microlot,Cafe Kreyol,Medium,Dominican Republic,92,A delicate red-honey processed coffee from the Dominican Republic — a percentage of sales is allocated by the farm to improve education in the farm’s region.
Coffea Diversa Yellow Dalle Honey,Paradise Roasters,Light,Guatemala,92,"A sweet-toned, citrusy-herbaceous cup from a rare tree variety most of us haven’t ever heard of, much less tasted."
Honey Typica Anaerobic,Hala Tree Kona Coffee,Medium-Light,“Big Island” Of Hawai’I,95,"An enigmatic, uniquely structured Kona Typica cup, processed experimentally to amplify tangy fruit and spice-toned floral notes supported by a compelling savory depth."
Geisha,Hala Tree Kona Coffee,Medium-Light,“Big Island” Of Hawai’I,94,"A stately and balanced Kona Geisha cup, paradoxically both deep-toned and delicate, with a particularly lush mouthfeel."
Holiday Blend,Hala Tree Kona Coffee,Medium,“Big Island” Of Hawai’I,93,"A 100% Hawaiian blend of both washed and natural-processed coffees that evokes holiday baking with notes of cinnamon and nutmeg, along with dark chocolate, as throughlines."
Natural Typica Anaerobic,Hala Tree Kona Coffee,Medium-Light,“Big Island” Of Hawai’I,93,"An experimentally processed, cleanly sweet-tart Kona Typica with distinct raspberry and cocoa notes."
Panama Abu Natural ASD Geisha BOP GN11,Kakalove Cafe,Medium-Light,Western Panama,96,"An unusual aroma and flavor profile, and a very successful one — dessert-like and savory-tart-leaning (think fresh-made yogurt) with nuanced complexity, concentration and balance."
Ethiopia Kochere Boji,Lexington Coffee Roasters,Medium-Light,Southern Ethiopia,95,"A bright, balanced, deep-toned Ethiopia cup carried by lyrical stone fruit and rich floral notes."
Guatemala Bella Carmona,Big Shoulders Coffee,Medium-Light,Guatemala,93,"A richly floral, deeply chocolaty Guatemala cup."
Thailand Omkoi Sopa’s Estate,Paradise Roasters,Light,Chiang Mai Province,93,"A subtly distinctive, rare coffee from Thailand, worth seeking out for its nuanced, layered lyricism."
Espresso Blend,Souvenir Coffee,Medium,East Timor,93,"A friendly espresso blend, chocolaty and nutty with deep sweetness throughout. Especially appealing in cappuccino-scaled milk."
Burundi Buhorwa,Big Shoulders Coffee,Light,Burundi,93,"A delicately perfumed, floral-toned Burundi with a throughline of resiny amber-like notes."
Jose Cienfuegos Mexico,JBC Coffee Roasters,Medium-Light,Mexico,92,A solid Mexico cup with organic/fair trade credentials: crisp chocolate balanced by high-toned fruit.
Cual Bicicleta,Merge Coffee Company,Medium-Light,Honduras,93,"A pleasing Honduras cup: citrus-forward with a throughline of warming spices (cinnamon, clove, nutmeg)."
Pena Blanca Black Honey,Merge Coffee Company,Medium-Light,Comayagua,93,"A cup paradoxically both delicate and deep, floral-driven with ballast from crisp chocolate notes."
La Joya,Merge Coffee Company,Medium-Light,La Paz,93,"A very balanced, cleanly composed, natural-processed Honduras cup with delicate and lively berry notes throughout."
Magic Cat Kenya Civet AFCA TOH NO.2 Gatuya Factory New Murarandia AA,"Good Chance Biotechnology, Ltd.",Medium-Light,Central Kenya,94,"A Kenya coffee experimentally manipulated in a lab to mimic the sensory impact of digestive processing by civet cats or luwaks. Sweet-savory, bright, rich-toned."
Magic Cat Civet Ethiopia Sidamo Shantwene Litchi Rose Washed,"Good Chance Biotechnology, Ltd.",Medium-Light,South-Central Ethiopia,93,"A classically bright, aromatic Ethiopia coffee experimentally manipulated in a lab to mimic the sensory impact of digestive processing by civet cats or luwaks."
Ethiopia Grade 1 Chelchele,Nostalgia Coffee Roasters,Light,Southern Ethiopia,94,"A very pretty, elegant washed Ethiopia cup saturated with deeply sweet honeysuckle-like floral tones."
Ethiopia Natural Yirgacheffe Gr.1 Cleopatra,Simon Hsieh Aroma Roast Coffees,Medium,Southern Ethiopia,95,A pretty floral-toned single-origin espresso from Ethiopia with a developed enough roast profile to encourage deep fudge-like chocolate and resonant aromatic wood.
Taiwan Alishan Zhou-Zhu-Yuan Farm Estate Reserve Washed,Simon Hsieh Aroma Roast Coffees,Medium,Taiwan,94,"A very elegant, balanced, confident Taiwan-grown coffee roasted for espresso, exciting in its nuance and complexity."
Ethiopia Keramo Zero Oxygen Natural,Theory Coffee Roasters,Medium-Light,Sidama Region,94,"A juicy anaerobically processed coffee with the complex, bright lift we’ve come to expect from a nice Ethiopia with added depth from a processing method involving limited-oxygen, whole-fruit ferment."
Sumatra Mutu Batak,Jackrabbit Java,Light,North Sumatra Province,93,"A classic Sumatra cup: earthy-rich, deeply chocolaty, with a floral-toned lift."
Peru Chacra Don Dago,SkyTop Coffee,Medium-Light,Oxampampa,92,A Peru cup evocative of winter with notes of baking spices and deep chocolate suggestions.
Dharma Espresso Blend,Temple Coffee Roasters,Medium,Ethiopia,92,"A rich, deep espresso blend with a dark chocolate throughline; floral notes sing in three parts milk."
Colombia Planadas,SkyTop Coffee,Medium-Light,Colombia,92,"A balanced, easygoing Colombia cup: chocolaty, nutty, and deeply sweet."
Ethiopia Sidama Bensa Bekele,Drink Coffee Do Stuff,Medium-Light,South-Central Ethiopia,91,"A friendly, accessible natural Ethiopia cup, cleanly fruit- and cocoa-toned."
Guatemala Acetenango Gesha Lot 2,RamsHead Coffee Roasters,Medium-Light,Guatemala,93,"A harmonious washed-process Gesha, grown in Guatemala and displaying pleasing notes of cocoa, stone fruit and cinnamon-like spices."
Guatemala Santa Felisa Solar Eclipse Gesha Natural,Euphora Coffee,Light,Guatemala,94,"A delicate, lively natural-processed Guatemala Geisha cup, sweetly fruit- and floral-toned, with particularly vibrant acidity."
Guatemala Acatenango,Sunny's Coffee,Medium-Light,Guatemala,93,"A satisfying, richly sweet Guatemala Geisha cup with spice-toned floral and stone fruit notes supported by sweet, pistachio-like nut."
Kenya Gachatha AB,Sunny's Coffee,Medium-Light,Acatenango,93,"An austere, brightly sweet Kenya cup with a spice throughline suggesting floral pink peppercorn."
Coral,Finca Tasta,Medium-Light,Satipo Province,94,"A pretty, berry-driven, richly sweet-tart Pacamara processed by the natural method."
Zafiro,Finca Tasta,Medium-Light,Satipo Province,92,"A nuanced, multilayered Peru Pacamara processed by the experimental anaerobic method: floral, savory and sweetly herb-toned."
Colombia La Esperanza Winey Natural,Coffee Please,Medium-Light,Colombia,93,A natural-processed Colombia cup with grapey and musky sweetness deepened by notes of dark chocolate and aromatic wood.
Costa Rica Cumbres Del Poas Anaerobic,Coffee Please,Medium-Light,Costa Rica,92,A savory-leaning experimentally processed Costa Rica animated by sweet herb and spice-toned floral notes.
Costa Rica Las Lajas Red Honey,Durango Coffee Company,Medium-Light,Costa Rica,93,"A red-honey-processed, sweetly fruit-centered Costa Rica cup, lively and engaging."
Papua New Guinea Kenta,Revel Coffee,Medium-Light,Papua New Guinea,92,"A solid PNG cup, deeply sweet and balanced, with an especially attractive, vibrant acidity."
Ethiopia Guji Goro Muda Washed G1,94 Fresh Coffee,Light,Southern Ethiopia,95,"An elegant, juicy washed Ethiopia with interesting sweet-herb undertones; graceful acidity, bright but not bracing."
Ethiopian Guji Ana Sora Alcoholic Natural G1,Normandy Coffee Thai Cuisine,Medium-Light,Southern Ethiopia,94,"A perfumy, intentionally fermenty natural-processed Ethiopia with forward alcohol notes and deep florals, balanced by tart stone fruit notes."
Rum Barrel Aged Kauai Coffee,Kauai Coffee Company,Medium,Kauai,92,"A nicely balanced barrel-aged coffee from Kauai driven by chocolate, fruit and floral suggestions."
Panama Hacienda La Esmeralda Gesha,Big Shoulders Coffee,Medium-Light,Western Panama,96,A classic washed Geisha from the celebrated Hacienda Esmeralda farm in Panama. A relative bargain for a coffee of this provenance and distinction.
Ethiopia Cup of Excellence Guji Natural,Paradise Roasters,Light,Hambela Wamena Woreda,95,"A delicate, high-toned Ethiopia cup with sweet herb undertones, ethereal in its perfumy complexity."
Ethiopia Sidama Telamo FTO Natural,Souvenir Coffee,Medium-Light,South-Central Ethiopia,95,"An exceptionally clean, balanced natural-processed Ethiopia cup: integrated berry and citrus notes out front with cocoa undertones and a hint of sweet herb."
Ethiopia Guji Laayyoo Natural,Paradise Roasters,Light,Southern Ethiopia,94,"A juicy, cleanly fruit-toned natural-processed Ethiopia, high-toned and fruit-driven."
Peru Wilmer Alarcon Mirez,Big Shoulders Coffee,Medium-Light,Peru,93,"A rich, floral-driven Peru cup with stone fruit and citrus complication."
Hawai’i Ka’u Champagne Natural,Paradise Roasters,Medium-Light,Big Island Of Hawai’I,93,"An experimentally processed coffee from the Big Island’s Ka’u region, tropical in its suggestions, dessert-like in its sweetness."
Ethiopia Natural Guji Uraga G1 Lot 20-05,Kakalove Cafe,Medium-Light,Oromia Region,94,"A multi-layered, floral-inclined natural-processed Ethiopia cup with an umami undercurrent: a trifecta of sweet, tart, savory impulses."
Ethiopia Honey Yirgacheffe Koke,Oceana Coffee,Medium-Light,South-Central Ethiopia,93,"Like blueberries? If so, you’ll enjoy this cleanly natural-processed Yirgacheffe cup with dark chocolate undertones."
Ka’u Lehua Black Honey,Big Island Coffee Roasters,Medium-Light,Big Island Of Hawai'I,93,"A deep, meditative Ka’u cup processed by the black honey method: rich, round, intensely aromatic."
Espresso Havana,Paradise Roasters,Medium,Ethiopia,93,"A classic darker-roasted espresso blend, chocolate-laden and floral, with pretty blueberry and deep pipe tobacco notes."
Taiwan Taitung Luan Mountain Valley of Tears,MT49 Cafe,Medium-Light,Taiwan,92,"A savory, pleasantly salty, chocolate-driven Taiwan cup, experimentally processed using anaerobic fermentation."
Thailand Robusta Panid Choosit Espresso,Paradise Roasters,Medium,Chumphon,91,"A medium-roasted single-origin Robusta espresso that particularly holds its own in milk: sweet, nut-driven, tart, gently floral."
Kenya Nyeri Muchoki Estate AA,Kakalove Cafe,Light,South-Central Kenya,94,"A richly chocolaty Kenya cup with deep floral notes throughout and a particularly lively, syrupy-smooth mouthfeel."
Thailand Robusta Panid Choosit,Paradise Roasters,Medium-Light,Chumphon,90,An especially sweet specialty Robusta cup from coffee sourced by Miguel Meza during a research trip to Thailand in search of quality non-Arabica coffees.
Bright House Signature Coffee,Red Bean Coffee,Medium-Light,Guatemala,93,"A rich-toned, chocolate-driven blend with stone fruit and citrus undertones, bright and juicy."
Ethiopia Uraga Dambi Uddo Wet-Fermented,Kakalove Cafe,Medium-Light,Oromia Region,93,An enticing washed-process Ethiopia cup with especially compelling acidity and pretty spice-toned floral notes throughout.
Guoxing Taiwan Coffee,Red Bean Coffee,Light,Taiwan,92,"A berry- and chocolate-toned natural-processed Taiwan cup — clean, friendly, approachable."
Peru El Corazon Gesha,Wonderstate Coffee,Medium-Light,Cajamarca Region,93,"Simultaneously deep and high-toned, saturated with notes of stone fruit, dark chocolate, sweet nuts, and rich aromatic wood — a persuasive presentation of the admired and still-rare Gesha variety."
Fruity Espresso Blend,NINETYs Roastery,Medium-Light,Ethiopia,95,"A multi-layered, richly complex espresso blend with sweet-tart fruit and profound chocolate expressed against a backdrop of resiny aromatic wood suggestions."
Ethiopia Yirgacheffe Cleopatra Natural,Quartet Kaffe,Medium-Light,Southern Ethiopia,94,"A deep, sweetly savory, floral-toned natural-processed Ethiopia, complex and nuanced."
Ethiopia Hambela Benti G1 Washed,Quartet Kaffe,Medium-Light,Oromia Region,93,"A balanced, classic Ethiopia wet-processed cup: stone-fruit, citrus and sweet florals throughout."
Taiwan Alluring Scent Estate Natural,Quartet Kaffe,Medium-Light,Taiwan,93,"A high-toned, spice-driven, sweet-tart coffee grown in Alishan, Taiwan, a region highly regarded for its teas."
Revolution Medium Roast,Kafe 1804,Medium,Blue Pine Forest,88,"A friendly, accessible Haiti cup with pleasing nut and chocolate tones."
Guatemala Sierra Roja Geisha,GK Coffee,Light,El Progreso Department,93,An elegantly bright structure supports a compelling range of classic Geisha aroma and flavors.
Independence Dark Roast,Kafe 1804,Medium-Dark,Blue Pine Forest,86,A dark-roasted Haiti cup that highlights sweet smokiness and chocolaty nut tones.
Ethiopia Yirgacheffe Dumerso G1 Natural,RamsHead Coffee Roasters,Medium-Light,Southern Ethiopia,94,"A cleanly berry-driven natural Ethiopia cup with sweet floral and deep caramel undertones, lively and engaging."
Colombia Finca Potosi,modcup coffee,Light,Colombia,93,"A rich, delicately floral Colombia cup with suggestions of sweet citrus complicated by attractive hints of aromatic wood."
Finca La Maria Geisha Natural,Blues Brew Coffee,Light,Colombia,94,"A rich, resonant natural-processed cup with pretty floral and stone fruit notes complemented by suggestions of sweet herb and nut."
Colombia Java El Edén Limited Edition,Brioso Coffee,Medium-Light,Colombia,94,"A deep, complex Colombia processed by an elaborate experimental  anaerobic method that encourages engaging lactic tones enveloped in rich fruit and floral sweetness."
Colombia Diofanor Ruiz,Plat Coffee Roastery,Medium-Light,Colombia,94,"A uniquely composed natural-processed coffee with unusual yogurt-like nuance layered with chocolate, fruit and floral suggestions."
Bright Minds,Greater Goods Coffee Roasters,Medium-Light,Caldas,93,A vibrantly spice-driven cup with a throughline of bright floral and deep chocolate suggestions.
Angamaza,JBC Coffee Roasters,Medium-Light,Loja Province,94,"An elegant, subtle Ecuador cup driven by juicy berry notes and spice undertones, all harmonious and integrated."
Colombia La Virgen Microlot,RamsHead Coffee Roasters,Medium-Light,Antioquia Department,92, A straight-ahead washed Colombia cup with sweet fruit and flowers throughout and undertones of aromatic wood.
Rayo del Sol,JBC Coffee Roasters,Medium-Light,Tabaconas,93,"A very sweet, floral-toned coffee with a chocolate throughline. This is a micro-lot produced at a woman-owned farm."
Rock the House Blend,JBC Coffee Roasters,Medium-Light,South America,93,"Over the years this JBC house blend has been consistently solid-scoring, always accessible and friendly, balanced and affordable."
Honduras Catuai/Bourbon,Spirit Animal Coffee,Medium-Light,Lempira Department,92,"An impressively straightforward, balanced, sweet-toned Honduras cup with creamy nut and rich floral notes throughout."
Ethiopia Rhapsody Espresso,One Fresh Cup,Medium-Light,Southern Ethiopia,95,The natural and washed Ethiopia coffees comprising this blend complement one another with particular balance and complexity. Especially inviting in cappuccino-scaled milk.
Kona Geisha Champagne Natural,Paradise Roasters,Light,Kona,95,A coffee of the celebrated Geisha variety grown in Kona and processed by an experimental wine-yeast-fermented natural method designed to encourage Champagne-like acidity.
Dafis Abafita Natural Ethiopia,PT's Coffee Roasting Co.,Light,Jimma Zone,95,"A rare single-farm Ethiopia, meticulously grown and processed by Dafis Abafita: elegant, deep, lively, compelling."
Berg Wu Championship Sidamo Washed G1 Lot 20-02,Kakalove Cafe,Light,Southern Ethiopia,95,A headily perfumed cup grounded by cocoa nib. Paradoxically both high-toned and exhilarating while paradoxically deep and brooding.
Ka’u Yellow Bourbon,Big Island Coffee Roasters,Medium-Light,Big Island Of Hawai'I,94,"An exceptional Yellow Bourbon grown in the Ka’u region of the Big Island of Hawai’i: expressive, nuanced, complex, juicy."
Ethiopia Natural Hambela Wate,Kakalove Cafe,Medium-Light,Oromia Region,95,A high-toned natural-processed Ethiopia cup with a hint of sweet ferment and rich floral and chocolate undertones.
Kenya Nyeri,Nostalgia Coffee Roasters,Medium-Light,South-Central Kenya,93,"A solid, classic Kenya cup, cocoa-toned with layers of dark fruit."
Kinini Village Rwanda,PT's Coffee Roasting Co.,Medium-Light,Rulindo District,94,"A rich, resonant Rwanda cup with both depth and breadth: berry-toned and chocolaty."
Panama Pacamara Natural,Prairie Lily Coffee,Medium-Light,Western Panama,94,"A deep, brooding, balanced Panama Pacamara cup — a cleanly expressed natural with resonant notes of chocolate fudge and sweet florals throughout."
Panama Geisha,Prairie Lily Coffee,Medium,Western Panama,93,"An elegant, assertive anaerobically processed Geisha from Panama, roasted to a darkish medium to develop notes of dark chocolate that complement heady fruit and florals."
Costa Rica Cloza Estate,Souvenir Coffee,Medium-Light,Costa Rica,93,"A pleasing, delicately spice-toned, richly nutty Costa Rica cup, classically balanced."
Ka’u Pink Honey,Paradise Roasters,Light,Big Island Of Hawai’I,94,An exciting Ka’u cup that is equal parts lushly fruit-forward and elegantly floral.
Kona Maragogype Pink Honey,Paradise Roasters,Light,Kona District,94,"A cleanly fruit-forward, uniquely composed Hawai’i cup from the huge-beaned, very rare Maragogype variety of Arabica."
RD1 Espresso Blend,RD Cafe,Medium-Light,Ethiopia,95,"A thoughtful, inviting espresso blend with a nut-toned base and lush chocolate and floral top notes."
Ecuador La Hormiga “Naty”,Paradise Roasters,Light,Zamora Chinchipe,93,"An unassuming, quietly complex natural-processed Ecuador cup with added intrigue from a partial anaerobic fermentation step."
Bull Espresso Blend,MoonMoon Coffee,Medium-Light,Brazil,95,A lovely espresso blend with detectable Kenya influence (deep savoriness) and a dark chocolate throughline.
Guatemala Coffea Diversa Geisha Queen Honey,Paradise Roasters,Light,Guatemala,93,"An elegant, understated Guatemala Geisha processed by the honey method — deeply sweet and richly aromatic."
Ethiopia Yirgacheffe Gotiti Natural,RD Cafe,Medium-Light,Southern Ethiopia,95,"Flowers and fruit distinguish this natural-processed Ethiopia cup: crisp, clean and chocolaty with undertones of warm baking spices."
Ethiopia Demeka Becha,Red Rooster Coffee Roaster,Light,Southern Ethiopia,95,"A Red Rooster exclusive coffee, and one worth seeking out: a classic washed Ethiopia profile with generous floral and complex citrus notes supported by crisp cocoa nib."
Costa Rica Anaerobic,Jackrabbit Java,Medium-Light,Sidama Growing Region,93,An anaerobically processed coffee with rich structure and original and intriguing aromatics: think walking into a bakery redolent with yeast and cinnamon.
Rwanda Triple-Washed,Jackrabbit Java,Medium-Light,Rwanda,92,"A friendly, classic Rwanda cup: balanced, deep, floral and nutty with fruit undertones."
